origin_full,destination_full,miles,rate,rpm,deadhead_origin,deadhead_destination,weight,truck_type,pickup_date,delivery_date,broker_name,broker_contact
"Boise, ID","Tulsa, OK",2318,3639,1.57,57,156,44221,Reefer,2026-06-02,2026-06-03,XPO Logistics,800-755-2728
"Rochester, NY","Knoxville, TN",1336,2525,1.89,218,148,42484,Reefer,2026-06-18,2026-06-19,TQL,800-580-3101
"San Antonio, TX","Amarillo, TX",749,2494,3.33,186,157,38472,Step Deck,2026-06-15,2026-06-16,Landstar,800-872-9400
"Kansas City, MO","Atlanta, GA",1179,2063,1.75,31,15,31151,Step Deck,2026-06-15,2026-06-17,Coyote Logistics,877-626-9683
"Cleveland, OH","Spokane, WA",641,1724,2.69,113,72,39321,Dry Van,2026-05-27,2026-05-28,XPO Logistics,800-755-2728
"Los Angeles, CA","New York, NY",2548,5172,2.03,139,84,13791,Step Deck,2026-06-11,2026-06-12,Uber Freight,844-822-8237
"Dallas, TX","Tampa, FL",420,1150,2.74,159,70,12548,Reefer,2026-06-08,2026-06-11,C.H. Robinson,800-323-7587
"Indianapolis, IN","Raleigh, NC",802,2726,3.4,59,14,26425,Flatbed,2026-06-08,2026-06-10,Schneider,800-558-6767
"Los Angeles, CA","Charlotte, NC",860,1573,1.83,86,47,9078,Step Deck,2026-06-17,2026-06-19,Uber Freight,844-822-8237
"Miami, FL","Reno, NV",799,1605,2.01,212,39,28687,Dry Van,2026-05-22,2026-05-26,XPO Logistics,800-755-2728
"Sacramento, CA","Jacksonville, FL",2112,5892,2.79,128,73,27174,Dry Van,2026-05-21,2026-05-25,JB Hunt,800-452-4868
"Columbus, OH","Arlington, TX",1772,5262,2.97,105,63,42504,Step Deck,2026-06-15,2026-06-18,Landstar,800-872-9400
"Detroit, MI","Miami, FL",1479,4777,3.23,155,4,43351,Reefer,2026-06-19,2026-06-19,Schneider,800-558-6767
"Tucson, AZ","Birmingham, AL",1867,3846,2.06,153,160,12208,Step Deck,2026-06-11,2026-06-14,Landstar,800-872-9400
"Knoxville, TN","Grand Rapids, MI",581,923,1.59,59,126,12165,Reefer,2026-06-18,2026-06-19,Landstar,800-872-9400
"Rockford, IL","Charlotte, NC",293,764,2.61,42,103,47987,Dry Van,2026-06-07,2026-06-10,RXO,800-866-0190
"Charlotte, NC","New York, NY",1325,2769,2.09,74,129,17437,Flatbed,2026-06-17,2026-06-19,JB Hunt,800-452-4868
"Grand Rapids, MI","Birmingham, AL",2457,8427,3.43,69,66,10926,Dry Van,2026-06-19,2026-06-19,Uber Freight,844-822-8237
"Tampa, FL","Atlanta, GA",425,1096,2.58,215,112,18868,Reefer,2026-05-29,2026-06-02,Landstar,800-872-9400
"Cleveland, OH","Tucson, AZ",1228,2652,2.16,22,102,20666,Dry Van,2026-06-13,2026-06-14,Uber Freight,844-822-8237
"Atlanta, GA","San Diego, CA",2353,6800,2.89,114,124,35005,Dry Van,2026-06-07,2026-06-12,Landstar,800-872-9400
"Grand Rapids, MI","Denver, CO",1195,1923,1.61,69,139,10085,Step Deck,2026-06-12,2026-06-15,Coyote Logistics,877-626-9683
"Pittsburgh, PA","Indianapolis, IN",558,2081,3.73,180,100,42390,Dry Van,2026-06-03,2026-06-06,Landstar,800-872-9400
"Austin, TX","Dallas, TX",1631,3474,2.13,181,30,31457,Dry Van,2026-05-28,2026-06-02,TQL,800-580-3101
"Fort Worth, TX","Memphis, TN",1579,5226,3.31,196,71,23580,Reefer,2026-06-01,2026-06-03,JB Hunt,800-452-4868
"Chicago, IL","Fresno, CA",417,667,1.6,54,53,44234,Flatbed,2026-05-19,2026-05-23,JB Hunt,800-452-4868
"Arlington, TX","Fort Lauderdale, FL",1633,5405,3.31,156,92,31720,Flatbed,2026-06-06,2026-06-11,Uber Freight,844-822-8237
"Rockford, IL","Orlando, FL",508,1325,2.61,93,23,45004,Dry Van,2026-06-08,2026-06-11,XPO Logistics,800-755-2728
