driver_id,experience_years,rating,distance,price,urgency,assigned
1,10,4.8,2199,7160.02,1,1
2,7,4.5,2199,7160.02,1,0
3,5,4.2,2199,7160.02,1,0
4,12,4.9,2199,7160.02,1,0
5,8,4.6,2199,7160.02,1,0
1,10,4.8,344,1153.09,3,1
2,7,4.5,344,1153.09,3,0
3,5,4.2,344,1153.09,3,0
4,12,4.9,344,1153.09,3,1
5,8,4.6,344,1153.09,3,0
1,10,4.8,1646,4141.97,1,0
2,7,4.5,1646,4141.97,1,0
3,5,4.2,1646,4141.97,1,0
4,12,4.9,1646,4141.97,1,0
5,8,4.6,1646,4141.97,1,0
1,10,4.8,2410,4384.92,3,1
2,7,4.5,2410,4384.92,3,0
3,5,4.2,2410,4384.92,3,0
4,12,4.9,2410,4384.92,3,1
5,8,4.6,2410,4384.92,3,0
1,10,4.8,799,2712.83,1,0
2,7,4.5,799,2712.83,1,0
3,5,4.2,799,2712.83,1,0
4,12,4.9,799,2712.83,1,0
5,8,4.6,799,2712.83,1,0
1,10,4.8,363,1219.9,1,0
2,7,4.5,363,1219.9,1,0
3,5,4.2,363,1219.9,1,0
4,12,4.9,363,1219.9,1,0
5,8,4.6,363,1219.9,1,0
1,10,4.8,378,718.95,2,1
2,7,4.5,378,718.95,2,0
3,5,4.2,378,718.95,2,0
4,12,4.9,378,718.95,2,0
5,8,4.6,378,718.95,2,0
1,10,4.8,908,2205.31,1,1
2,7,4.5,908,2205.31,1,0
3,5,4.2,908,2205.31,1,0
4,12,4.9,908,2205.31,1,0
5,8,4.6,908,2205.31,1,0
1,10,4.8,2061,3901.23,2,0
2,7,4.5,2061,3901.23,2,0
3,5,4.2,2061,3901.23,2,0
4,12,4.9,2061,3901.23,2,0
5,8,4.6,2061,3901.23,2,1
1,10,4.8,341,710.03,1,0
2,7,4.5,341,710.03,1,0
3,5,4.2,341,710.03,1,0
4,12,4.9,341,710.03,1,0
5,8,4.6,341,710.03,1,1
1,10,4.8,2196,7598.2,3,1
2,7,4.5,2196,7598.2,3,0
3,5,4.2,2196,7598.2,3,0
4,12,4.9,2196,7598.2,3,1
5,8,4.6,2196,7598.2,3,0
1,10,4.8,480,1384.06,2,0
2,7,4.5,480,1384.06,2,0
3,5,4.2,480,1384.06,2,0
4,12,4.9,480,1384.06,2,0
5,8,4.6,480,1384.06,2,0
1,10,4.8,1857,3767.83,2,0
2,7,4.5,1857,3767.83,2,0
3,5,4.2,1857,3767.83,2,0
4,12,4.9,1857,3767.83,2,0
5,8,4.6,1857,3767.83,2,1
1,10,4.8,2232,4446.21,3,1
2,7,4.5,2232,4446.21,3,0
3,5,4.2,2232,4446.21,3,0
4,12,4.9,2232,4446.21,3,1
5,8,4.6,2232,4446.21,3,0
1,10,4.8,445,1383.43,3,1
2,7,4.5,445,1383.43,3,0
3,5,4.2,445,1383.43,3,0
4,12,4.9,445,1383.43,3,1
5,8,4.6,445,1383.43,3,0
1,10,4.8,1613,5561.86,2,0
2,7,4.5,1613,5561.86,2,0
3,5,4.2,1613,5561.86,2,0
4,12,4.9,1613,5561.86,2,0
5,8,4.6,1613,5561.86,2,1
1,10,4.8,872,2561.96,2,0
2,7,4.5,872,2561.96,2,0
3,5,4.2,872,2561.96,2,0
4,12,4.9,872,2561.96,2,0
5,8,4.6,872,2561.96,2,1
1,10,4.8,286,740.53,3,1
2,7,4.5,286,740.53,3,0
3,5,4.2,286,740.53,3,0
4,12,4.9,286,740.53,3,1
5,8,4.6,286,740.53,3,0
1,10,4.8,705,1100.04,2,0
2,7,4.5,705,1100.04,2,0
3,5,4.2,705,1100.04,2,0
4,12,4.9,705,1100.04,2,1
5,8,4.6,705,1100.04,2,0
1,10,4.8,1063,2396.48,2,0
2,7,4.5,1063,2396.48,2,0
3,5,4.2,1063,2396.48,2,0
4,12,4.9,1063,2396.48,2,1
5,8,4.6,1063,2396.48,2,0
1,10,4.8,1165,2953.82,3,1
2,7,4.5,1165,2953.82,3,0
3,5,4.2,1165,2953.82,3,0
4,12,4.9,1165,2953.82,3,1
5,8,4.6,1165,2953.82,3,0
1,10,4.8,2006,3069.16,2,0
2,7,4.5,2006,3069.16,2,0
3,5,4.2,2006,3069.16,2,0
4,12,4.9,2006,3069.16,2,0
5,8,4.6,2006,3069.16,2,0
